year;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
ag_numJobs;6;8;6,4;5,12;4,096;3,2768;2,62144;2,097152;1,677721;1,342177;1,073742;0,8589934;0,6871947;0,5497558;0,4398046;0,3518437;0,2814749;0,22518;0,180144;0,1441152
ag_reqJobs;0;8;6,4;5,12;4,096;3,2768;2,62144;2,097152;1,677721;1,342177;1,073742;0,8589934;0,6871947;0,5497558;0,4398046;0,3518437;0,2814749;0,22518;0,180144;0,1441152
t_capital;100;80;64;51,2;40,96;32,768;26,2144;20,97152;16,77721;13,42177;10,73742;8,589933;6,871947;5,497558;4,398046;3,518437;2,814749;2,2518;1,80144;1,441152
t_invest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t_production;20;20;16;10,77859;7,406589;5,696187;4,378305;3,363385;2,582191;1,981223;1,51916;1,215328;0,9722624;0,7778099;0,6222479;0,4977984;0,3982387;0,3185909;0,2548728;0,2038982
t_amortization;20;20;16;12,8;10,24;8,191999;6,553599;5,242879;4,194304;3,355443;2,684354;2,147483;1,717987;1,374389;1,099512;0,8796092;0,7036874;0,5629499;0,4503599;0,3602879
t_income;200;204;166,4;114,253;79,99116;62,65806;49,03702;38,34259;29,95341;23,37843;18,22992;14,827;12,05605;9,800405;7,964774;6,471379;5,256751;4,269119;3,46627;2,813795
t_profit;100;183;149,6;100,9141;69,38083;54,18125;42,26451;32,93154;25,63;19,92393;15,46961;12,61875;10,28945;8,387125;6,83415;5,56688;4,533151;3,690239;3,003166;2,443312
t_toBudget;70;73,2;59,84;40,36564;27,75233;21,6725;16,9058;13,17262;10,252;7,96957;6,187844;5,047501;4,115782;3,35485;2,73366;2,226752;1,81326;1,476096;1,201267;0,977325
t_numJobs;2;4;3,2;2,56;2,048;1,6384;1,31072;1,048576;0,8388607;0,6710886;0,5368709;0,4294967;0,3435974;0,2748779;0,2199023;0,1759218;0,1407375;0,11259;0,09007198;0,07205759
t_reqJobs;0;4;3,2;2,56;2,048;1,6384;1,31072;1,048576;0,8388607;0,6710886;0,5368709;0,4294967;0,3435974;0,2748779;0,2199023;0,1759218;0,1407375;0,11259;0,09007198;0,07205759
chem_capital;500;450;471,3;534,5785;611,8566;687,8317;756,6662;815,1744;861,9656;896,8287;920,2935;933,324;937,3251;933,6406;923,5205;908,103;888,4067;865,3304;839,6576;812,0638
chem_invest;0;50;111,3;157,5385;184,1938;198,3465;206,4008;209,8414;209,8261;207,2562;202,8305;197,0892;190,6659;183,7805;176,6081;169,2866;161,9243;154,605;147,3933;140,3378
chem_production;100;100;235,65;267,2892;305,9283;343,9158;378,3331;407,5872;430,9828;448,4143;460,1467;466,662;468,6625;466,8203;461,7602;454,0515;444,2034;432,6652;419,8288;406,0319
chem_amortization;100;100;90;94,25999;106,9157;122,3713;137,5663;151,3332;163,0349;172,3931;179,3657;184,0587;186,6648;187,465;186,7281;184,7041;181,6206;177,6814;173,0661;167,9315
chem_income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chem_profit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chem_toBudget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chem_numJobs;1;2,25;2,3565;2,672892;3,059283;3,439158;3,783331;4,075872;4,309828;4,484143;4,601467;4,66662;4,686625;4,668203;4,617602;4,540515;4,442034;4,326652;4,198288;4,060319
chem_reqJobs;0;2,25;2,3565;2,672892;3,059283;3,439158;3,783331;4,075872;4,309828;4,484143;4,601467;4,66662;4,686625;4,668203;4,617602;4,540515;4,442034;4,326652;4,198288;4,060319
bio_capital;500;450;471,3;534,5785;611,8566;687,8317;756,6662;815,1744;861,9656;896,8287;920,2935;933,324;937,3251;933,6406;923,5205;908,103;888,4067;865,3304;839,6576;812,0638
bio_invest;0;50;111,3;157,5385;184,1938;198,3465;206,4008;209,8414;209,8261;207,2562;202,8305;197,0892;190,6659;183,7805;176,6081;169,2866;161,9243;154,605;147,3933;140,3378
bio_production;100;100;235,65;267,2892;305,9283;343,9158;378,3331;407,5872;430,9828;448,4143;460,1467;466,662;468,6625;466,8203;461,7602;454,0515;444,2034;432,6652;419,8288;406,0319
bio_amortization;100;100;90;94,25999;106,9157;122,3713;137,5663;151,3332;163,0349;172,3931;179,3657;184,0587;186,6648;187,465;186,7281;184,7041;181,6206;177,6814;173,0661;167,9315
bio_income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bio_profit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bio_toBudget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bio_numJobs;1;2,25;2,3565;2,672892;3,059283;3,439158;3,783331;4,075872;4,309828;4,484143;4,601467;4,66662;4,686625;4,668203;4,617602;4,540515;4,442034;4,326652;4,198288;4,060319
bio_reqJobs;0;2,25;2,3565;2,672892;3,059283;3,439158;3,783331;4,075872;4,309828;4,484143;4,601467;4,66662;4,686625;4,668203;4,617602;4,540515;4,442034;4,326652;4,198288;4,060319
fishAmount;2000;2160;2323,574;2411,861;2463,205;2502,326;2533,928;2560,474;2583,346;2603,381;2621,127;2637,664;2653,073;2667,44;2680,848;2693,375;2705,093;2716,071;2726,371;2736,049
ejectEColi;500;643;668,015;688,6663;708,1031;728,7059;749,422;770,1434;790,7798;811,2554;831,5056;852,4075;873,8964;895,9765;918,6539;941,937;965,8354;990,3604;1015,524;1041,341
ejectOrg;5;662;683,215;698,9059;715,1393;734,1173;753,5814;773,3386;793,233;813,1376;832,9488;853,562;874,8201;896,7154;919,2451;942,4099;966,2137;990,6631;1015,766;1041,534
ejectPhs;600;8;6,4;4,311435;2,962636;2,278475;1,751322;1,345354;1,032876;0,7924892;0,607664;0,4861312;0,388905;0,311124;0,2488992;0,1991193;0,1592955;0,1274364;0,1019491;0,08155929
residueEColi;100;643;1075,365;1496,742;1898,917;2283,707;2654,796;3017,352;3377,149;3739,99;4111,349;4497,094;4902,328;5331,484;5788,378;6276,263;6797,895;7355,59;7951,286;8586,595
residueOrg;100;662;1109,565;1541,182;1950,393;2340,594;2715,843;3081,594;3443,844;3808,568;4181,37;4568,27;4974,427;5404,322;5861,807;6350,166;6872,176;7430,174;8026,111;8661,613
residuePhs;10;18;24,4;28,71143;31,67407;33,95255;35,70387;37,04922;38,0821;38,87458;39,48225;39,96838;40,35728;40,6684;40,9173;41,11642;41,27571;41,40315;41,5051;41,58666
