year,pf_capital, pf_invest, pf_production, pf_amortization, pf_income, pf_profit, pf_toBudget, pf_numJobs, pf_reqJobs, f_capital, f_invest, f_production, f_amortization, f_income, f_profit, f_toBudget, f_numJobs, f_reqJobs, aq_capital, aq_invest, aq_production, aq_amortization, aq_income, aq_profit, aq_toBudget, aq_numJobs, aq_reqJobs, ag_capital, ag_invest, ag_production, ag_amortization, ag_income, ag_profit, ag_toBudget, ag_numJobs, ag_reqJobs, t_capital, t_invest, t_production, t_amortization, t_income, t_profit, t_toBudget, t_numJobs, t_reqJobs, chem_capital, chem_invest, chem_production, chem_amortization, chem_income, chem_profit, chem_toBudget, chem_numJobs, chem_reqJobs, bio_capital, bio_invest, bio_production, bio_amortization, bio_income, bio_profit, bio_toBudget, bio_numJobs, bio_reqJobs, fishAmount, ejectEColi, ejectOrg, ejectPhs, residueEColi, residueOrg, residuePhs, degr, degrLand, degrSea, budget, moneySpend, moneyLeft, incomeSum, capitalSum, incomeSumPerHum, population, employmentRate, unemploymentRate, jobsAmSum, jobsReqSum, ablePopSum, lifespan, humDevInd, qualityOfEnv, pop_inc
1, 750, 0, 150, 150, 1500, 1200, 500, 25, 0, 500, 0, 100, 100, 1000, 800, 300, 18, 0, 200, 0, 40, 40, 400, 300, 140, 7, 0, 200, 0, 40, 40, 400, 300, 140, 6, 0, 100, 0, 20, 20, 200, 100, 70, 2, 0, 500, 0, 100, 100, 0, 0, 0, 1, 0, 500, 0, 100, 100, 0, 0, 0, 1, 0, 2000, 500, 5, 600, 100, 100, 10, 0, 0, 0, 1000, 100, 900, 3500, 2750, 10, 600, 25, 75, 60, 60, 240, 75, 50, 1, 0
2, 600, 0, 150, 150, 1530, 1372,5, 549, 30, 30, 400, 0, 100, 100, 1020, 915, 366, 20, 20, 160, 0, 40, 40, 408, 366, 146,4, 8, 8, 160, 0, 40, 40, 408, 366, 146,4, 8, 8, 80, 0, 20, 20, 204, 183, 73,2, 4, 4, 450, 50, 100, 100, 0, 0, 0, 2,25, 2,25, 450, 50, 100, 100, 0, 0, 0, 2,25, 2,25, 2160, 643, 662, 8, 643, 662, 18, 3,005044, 0,3906558, 0,7512611, 2226, 100, 900, 3570, 2300, 5,69378, 627, 29,70494, 70,29506, 74,5, 74,5, 250,8, 75, 50,31842, 1, 4,5
3, 480, 0, 120, 120, 1248, 1122, 448,8, 24, 24, 320, 0, 80, 80, 832, 748, 299,2, 16, 16, 128, 0, 32, 32, 332,8, 299,2, 119,68, 6,4, 6,4, 128, 0, 32, 32, 332,8, 299,2, 119,68, 6,4, 6,4, 64, 0, 16, 16, 166,4, 149,6, 59,84, 3,2, 3,2, 471,3, 111,3, 235,65, 90, 0, 0, 0, 2,3565, 2,3565, 471,3, 111,3, 235,65, 90, 0, 0, 0, 2,3565, 2,3565, 2323,574, 668,015, 683,215, 6,4, 1075,365, 1109,565, 24,4, 16,26213, 2,114077, 4,065533, 3150,77, 222,6, 2003,4, 2912, 2062,6, 4,444343, 655,215, 23,1653, 76,8347, 60,713, 60,713, 262,086, 63,15578, 41,29963, 0,8420771, 4,5
4, 384, 0, 80,8394, 96, 856,8976, 756,8557, 302,7422, 19,2, 19,2, 256, 0, 53,89293, 64, 571,2651, 504,5704, 201,8282, 12,8, 12,8, 102,4, 0, 21,55717, 25,6, 228,5061, 201,8282, 80,73128, 5,12, 5,12, 102,4, 0, 21,55717, 25,6, 228,5061, 201,8282, 80,73128, 5,12, 5,12, 51,2, 0, 10,77859, 12,8, 114,253, 100,9141, 40,36564, 2,56, 2,56, 534,5785, 157,5385, 267,2892, 94,25999, 0, 0, 0, 2,672892, 2,672892, 534,5785, 157,5385, 267,2892, 94,25999, 0, 0, 0, 2,672892, 2,672892, 2411,861, 688,6663, 698,9059, 4,311435, 1496,742, 1541,182, 28,71143, 25,87125, 3,363263, 6,467813, 3683,876, 315,077, 2835,693, 1999,428, 1965,157, 2,940147, 680,0434, 18,43477, 81,56522, 50,14579, 50,14579, 272,0174, 54,24747, 33,83336, 0,7232996, 3,789347
5, 307,2, 0, 55,54941, 76,8, 599,9337, 520,3562, 208,1425, 15,36, 15,36, 204,8, 0, 37,03294, 51,2, 399,9558, 346,9041, 138,7617, 10,24, 10,24, 81,92, 0, 14,81318, 20,48, 159,9823, 138,7617, 55,50466, 4,096, 4,096, 81,92, 0, 14,81318, 20,48, 159,9823, 138,7617, 55,50466, 4,096, 4,096, 40,96, 0, 7,406589, 10,24, 79,99116, 69,38083, 27,75233, 2,048, 2,048, 611,8566, 184,1938, 305,9283, 106,9157, 0, 0, 0, 3,059283, 3,059283, 611,8566, 184,1938, 305,9283, 106,9157, 0, 0, 0, 3,059283, 3,059283, 2463,205, 708,1031, 715,1393, 2,962636, 1898,917, 1950,393, 31,67407, 33,38939, 4,340621, 8,347348, 3966,929, 368,3876, 3315,489, 1399,845, 1940,513, 1,993577, 702,1778, 14,93873, 85,06127, 41,95857, 41,95857, 280,8711, 52,15015, 30,50737, 0,6953353, 3,254848
